,0
eliminated_by_Lasso,12 35 39 43 46 47 57 81 94 105 118 119 129 130 145 148 156 168 176 206 216 229 237 238 239 242 253 258 271 302 315 323 332 337 344 348 352 356 359 376 391 394 413 415 420 422 430 431 445 454 464 475 485
eliminated_by_lm,2 10 22 46 91 94 153 232 239 242 251 253 319 406
